City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Codrington,AU,-38.2667,141.9667,61.74,72,41,9.42,scattered clouds
325,Krasnoselkup,RU,65.7,82.4667,63.14,89,100,5.21,light rain
326,Recreio,BR,-21.525,-42.4692,61.12,97,6,1.74,clear sky
327,Maningrida,AU,-12.0667,134.2667,80.53,53,50,11.59,scattered clouds
328,Tigil,RU,57.8,158.6667,62.85,45,100,11.56,overcast clouds
329,Asfi,MA,32.2994,-9.2372,76.06,68,77,10.94,broken clouds
330,Misratah,LY,32.3754,15.0925,82.8,58,0,8.37,clear sky
331,Verkh-Usugli,RU,52.7,115.1667,67.33,78,100,1.9,overcast clouds
332,Bemidji,US,47.4736,-94.8803,60.89,85,0,8.05,clear sky
333,Taft,IR,31.7471,54.2088,94.95,10,0,9.22,clear sky
334,Progreso,MX,21.2833,-89.6667,76.12,86,99,2.89,overcast clouds
335,Limon,CR,10.0,-83.0333,78.15,81,100,0.63,overcast clouds
336,Paranhos,BR,-23.8928,-55.4311,67.86,52,93,6.58,overcast clouds
337,Faya,SA,18.3851,42.4509,64.51,54,100,2.55,overcast clouds
338,Kodiak,US,57.79,-152.4072,50.16,98,100,19.33,moderate rain
339,Yarim,YE,14.298,44.3779,62.83,65,94,3.87,overcast clouds
340,Sorland,NO,67.667,12.6934,51.66,74,89,9.1,overcast clouds
341,Kushiro,JP,42.975,144.3747,69.64,88,89,5.5,overcast clouds
342,Orlik,RU,52.5178,99.825,64.62,50,100,2.33,light rain
343,Newport,GB,51.5877,-2.9984,64.87,93,100,13.71,overcast clouds
344,Joshimath,IN,30.5667,79.5667,79.52,74,97,6.42,overcast clouds
345,Stornoway,GB,58.2093,-6.3865,57.78,99,100,8.84,overcast clouds
346,Grenada,ES,37.1882,-3.6067,74.91,39,0,3.44,clear sky
347,Totness,SR,5.8833,-56.3167,77.04,89,100,8.59,overcast clouds
